,GSM1437845,GSM1437886,GSM1437894,GSM1437898,GSM1437908,GSM1437910,GSM1437927,GSM1437937,GSM1437945,GSM1437952,GSM1437960,GSM1437968,GSM1437986,GSM1437992,GSM1438014,GSM1438022,GSM1438026,GSM1438028,GSM1438032,GSM1438042,GSM1438046,GSM1438048,GSM1438050,GSM1438054,GSM1438058,GSM1438060,GSM1438062,GSM1438074,GSM1438082,GSM1438120,GSM1438122,GSM1438124,GSM1438126,Tarca_879_P10G02,Tarca_911_P10G06,Tarca_910_P10F06,Tarca_168_P2H09,Tarca_190_P2F12,Tarca_166_P2F09,Tarca_211_P3C03,Tarca_208_P3H02,Tarca_813_P9E06,Tarca_065_P1F05,Tarca_053_P1E05,Tarca_770_P9B01,Tarca_261_P3E09,Tarca_259_P3C09,Tarca_030_P1C06,Tarca_018_P1B06,Tarca_314_P4B04,Tarca_337_P4A07
101929719_at,5.150272701,2.325236338,3.233001154,3.6392907,4.572347455,5.519919705,4.440877442,5.015190894,5.314628844,3.197285054,3.853340342,3.630920381,3.742196727,3.47581836,3.451779891,4.77005574,2.965504886,4.620427079,5.610798668,4.091193828,3.893612818,3.801451467,5.084912571,2.928149915,4.155321754,3.486817957,4.904440043,4.886380902,3.995774526,3.817294369,5.666593801,4.798636581,4.787226947,4.496961689,4.321485762,4.397228115,4.379612353,4.383593815,4.336052652,4.34856189,4.383110363,4.483052638,4.272187785,4.44013343,4.513468307,4.520426081,4.348254585,4.377534667,4.371081212,4.567015572,4.487232644
101928979_at,3.39323712,3.518956909,3.371176979,3.374141004,4.182029644,3.492760766,3.486893702,5.039200075,5.794660341,2.931403799,6.343836278,2.908423861,3.839686606,4.185631075,3.021206665,2.612005252,3.875280713,3.840635023,3.491693589,3.015424029,4.190135287,2.862281684,4.429447836,4.902427873,2.933500022,3.957338561,3.977569058,3.716586116,2.582296995,2.96323096,3.86328074,3.557716584,4.529696741,3.944226247,3.749585901,3.603885781,3.691117355,3.511176589,3.215589828,3.607285092,3.543132562,3.533735189,3.375726878,3.2477837,3.262258508,3.482437628,3.48128725,3.530705799,3.305511779,3.580399852,3.477229064
2948_at,6.536657007,6.905700347,6.726854603,6.463381399,7.093010279,6.933423064,7.173759602,5.966842566,5.436825326,6.130280687,5.921680895,7.094979344,6.672415388,6.044772498,6.859508015,6.047177004,6.411815778,7.130580279,7.57146469,6.806474682,6.879881763,7.070417621,7.105150368,6.593465865,7.639937213,7.379992435,6.751413263,7.216198478,6.150290081,6.804488741,7.314658728,7.55348661,6.736584718,6.417336176,6.472158712,6.297229074,5.890171612,5.763969857,5.91321111,6.314438174,6.349787808,6.640199156,6.72791834,6.932436029,7.007373244,6.074681874,6.248402181,6.460009523,6.176511793,7.268031984,6.915873083
28797_at,7.743882032,8.083456488,7.683469654,7.461394723,7.723750837,7.999320912,7.645181261,7.229161863,7.367135137,8.114261593,7.608617876,7.258485906,7.122315729,8.315973638,7.296947249,7.704282673,8.232951893,7.510882318,7.35757785,7.754872273,7.508099005,7.71967519,7.816637432,7.19617524,6.913745857,7.373046028,7.396674828,7.527647645,7.208417091,7.087003627,7.852479736,7.530238286,7.871314478,7.687621653,7.700937776,7.103496835,7.261323192,7.546747657,7.156691483,7.912451887,7.449041572,7.182344468,6.866941731,8.131954041,7.396673138,7.160593979,7.782383255,8.094406901,8.125155194,6.903191263,6.828491138
200350_at,4.669517663,5.297705202,5.083365495,4.899639817,4.704984447,4.290614335,4.666192134,4.968140694,4.866631217,4.271139659,5.01378537,5.195314479,5.035361953,4.460777895,4.1644497,4.680469472,4.170409894,4.134587397,4.623897744,4.897295504,5.084022036,4.940310364,3.757735778,4.964555599,4.27124437,4.783482307,4.666820425,3.768639786,4.726161593,4.665372657,4.888636002,5.110597029,4.471163945,4.962028874,4.872778581,4.736616329,5.014680388,4.960237275,4.977670137,4.583118745,5.091213639,4.684737697,5.019236818,4.482100459,4.59875406,4.968020436,4.928979728,5.17199307,4.604045705,4.705489793,4.905213774
9732_at,6.77609349,7.491361657,6.869923422,6.897422803,6.753765326,7.064536841,7.149369849,7.055222501,6.866511332,7.942646281,7.1910567,7.615405329,7.250986804,7.01883676,7.031087527,6.568848166,6.870306045,7.304607892,6.512099571,7.073993756,6.987349927,7.088061983,6.831460773,7.406945474,7.434510471,6.604374352,6.822688645,7.050947513,7.00492934,6.347275504,6.613835593,6.776817841,6.941320255,6.568770306,6.923772624,7.217858095,7.357686179,7.523019966,7.889726726,6.530808382,6.764036058,7.752942438,7.15311324,6.480093068,7.795836175,6.798696371,6.470174039,7.066857761,6.744820195,6.36583684,6.480887705
28698_at,8.538147354,8.47087088,8.626050823,8.117925159,8.690912374,8.022080403,8.145739154,8.125704366,8.339498349,7.154269098,8.144829378,7.864807918,7.979744864,8.362103512,7.632201142,8.584761,7.803372827,8.314058726,8.453101212,8.267371285,8.390067156,8.678437276,7.762113566,8.428024864,8.280288143,8.074167914,8.705271496,8.305691766,7.752038248,8.559256985,8.71147297,8.487790307,8.002944529,7.989297233,7.802325449,7.878344823,7.118719149,7.685671424,7.999957165,8.180552626,8.01449374,7.859613319,8.022066622,8.033131236,8.71795989,8.173118414,8.208003001,7.867058933,7.307402669,8.781239309,8.926005708
101927546_at,6.268804063,6.425728937,6.551518648,6.858635506,7.010863122,6.351786061,7.88635273,6.635673128,6.120014193,7.417001238,6.605702079,5.913834776,7.161665459,6.802761974,6.648320127,6.697310468,6.186907007,6.383054491,7.0259112,6.380413329,6.062238054,7.425919584,7.536754098,6.17269264,6.918608208,6.581402527,6.147464017,6.280008358,6.962613584,6.40322894,6.078916026,6.303944283,6.654333861,6.232134705,6.39978593,6.078406329,6.669689063,6.703589969,6.610492855,6.349656808,6.130519842,4.995509353,5.737775897,6.361161989,6.882303998,6.63331554,6.799745117,7.760785097,7.873687746,7.104308106,6.865179852
6974_at,7.114099209,4.781217309,6.78083029,6.67188839,6.589951951,6.638603704,6.933874529,6.271120354,5.618602736,5.710017307,6.09947831,5.649937201,6.419025873,4.46338026,6.431208149,6.34495667,6.263377725,6.021874795,6.234600193,6.899309271,6.089887771,7.228789083,5.917444853,6.5786571,5.704159196,4.603758272,5.470660376,6.595014807,6.080731434,6.382467935,6.063793246,5.776922204,7.063938733,6.252402345,6.639502147,7.049853432,5.983989035,5.327141376,5.269471445,5.788646545,6.330173256,5.806804232,5.315255187,6.157588773,6.276850195,6.408418163,6.900340779,6.121101284,5.306253546,6.777900878,7.637135107
8807_at,9.107614003,9.315937044,8.459286321,9.180254945,8.974886563,8.85689226,8.99429804,8.366869786,8.755538557,8.895467114,8.482689644,8.689521202,8.502684507,8.707680896,8.921614506,8.658546168,6.890695407,8.951001842,8.661444351,9.237604564,8.511118891,9.139383515,8.877242769,8.347020825,8.823562195,8.579440427,9.067210224,7.43853708,8.902734152,9.268150524,8.423267693,7.582363588,8.926124794,8.836335048,8.687067193,9.550557234,8.74403381,8.582932877,8.96391932,8.423485085,7.996731492,9.539330529,9.063593411,9.162820805,9.551440535,8.807951317,9.104499249,8.093607482,8.222135746,8.4167104,9.116038257
2359_at,4.977839929,4.883481663,4.939842177,5.355500904,4.656060051,5.573068271,4.445576549,4.289785584,5.123840596,5.516080282,5.386267697,5.149123107,5.064498463,4.400763849,4.846248675,5.245517698,4.621412321,5.248300152,5.110295478,5.083643511,4.912232178,4.830085399,4.866475084,5.033742177,5.537186695,4.423643134,5.011630661,5.301462847,4.950137425,5.130077732,5.204583241,5.387863265,5.067574339,5.938818005,6.179663826,5.793740215,4.861722693,4.759347334,4.71752073,4.980470597,4.870453584,4.548027259,4.729378864,4.841024122,4.836237598,4.752851591,4.810402664,5.25760499,4.990576671,5.439087685,5.500086672
101927439_at,2.257722062,2.440755126,5.078132351,2.348175225,2.413333674,3.585745031,2.551337386,2.263165624,2.259251005,2.35700349,2.469876013,2.446310724,2.243531671,2.185074157,2.933470328,3.269554665,2.254221882,2.482898216,5.929588596,2.172063517,2.21445756,2.149637626,2.639776765,2.774316379,2.587542368,2.585085963,2.23775392,2.864218721,2.556035626,2.194584847,2.142795762,2.327238038,2.394718689,2.540552825,2.578469615,2.337109417,2.699408716,2.265396191,2.492011765,2.483786067,2.487564152,2.276997407,2.575385138,2.669439756,2.387637514,2.343988499,2.551868578,2.475057128,2.564820958,2.589293406,2.437977724
109616991_at,3.792879797,2.711059116,4.054873914,2.315075102,3.740145273,2.471277035,2.843757679,2.119132752,4.758884795,2.077746007,2.470043043,2.530378041,2.721761099,3.026721181,2.833639415,2.401797404,2.143875216,2.437930751,2.741927527,3.119846022,2.62208436,2.127130017,2.854448893,3.372493507,2.805127321,2.931367572,2.989600952,2.059143194,2.15401838,2.551665636,3.240429579,2.660901419,2.992880152,3.155615254,3.218288863,3.191600189,2.930729575,3.044173055,3.190594479,2.937953651,3.109870787,3.004333869,2.665087762,2.782547346,3.162539598,3.321963269,3.139811287,3.061170196,2.881239095,2.987726733,3.169185955
105369595_at,5.96054046,6.363637785,5.593205899,6.067984093,6.270071169,5.679211744,6.431493464,6.169490968,5.853771949,6.227663702,5.79559585,6.0006227,5.864126421,6.229191709,6.15434495,5.504786825,6.233434668,6.176110724,5.429985733,5.941421824,5.612545966,5.981541476,6.092183935,5.814592628,6.438001442,5.696760976,5.743981976,5.785508922,6.613759328,5.935430343,5.608421792,5.657711393,5.422464871,6.047343016,6.259094756,6.124500052,5.569280411,5.769402698,5.894193798,6.233742812,6.229320735,5.945905095,5.55534886,5.607491679,5.258710197,5.795204686,5.935229496,7.131246567,7.252744471,6.195625899,6.160536948
319101_at,5.546817574,4.699595427,4.49380666,3.649021688,3.701112507,3.219426357,4.319340335,3.816723903,5.531828828,4.058546112,4.409012901,4.857815396,4.75427843,5.418614668,3.427851252,5.052077038,4.359375839,3.535327991,4.767745281,5.631726226,4.370866977,5.372258835,4.45608025,4.910295059,5.170308959,4.988986438,5.460710639,2.857332454,4.448557179,4.28288844,5.797458934,5.461338386,4.588940723,4.566306891,4.642310782,4.44117044,4.801295317,4.744394734,4.604784727,4.792666975,5.005452074,4.892493646,4.744106038,4.767492125,4.638158368,5.046796719,4.690150077,4.679997263,4.754194171,4.853646817,4.784999625
100528032_at,6.978696669,7.051974566,6.925346924,6.628716869,7.060800749,6.540869521,6.843567632,6.860917954,7.280571414,6.860753867,7.613157742,6.761165941,7.146243874,6.796823906,6.883526274,6.44283177,6.283171909,5.879415716,7.110137307,7.641283077,6.342500137,6.382007307,6.136936513,7.134090453,6.499521187,6.920852458,6.238478477,6.8449646,6.388199697,6.697706652,6.417711271,7.070512716,7.40402843,6.956823727,6.456492184,7.087915998,7.140507081,6.200642742,6.041129284,6.821588471,6.371358132,7.033171922,6.315463947,6.305936124,7.447623156,6.183760849,6.404253055,6.998778318,6.898747187,6.399597372,7.199126353
100289635_at,4.70083193,5.422432885,5.383789218,4.745616313,4.77478714,5.062365604,4.005457189,5.560146004,5.437317875,4.733969352,4.504148961,4.20583658,4.281312889,5.037043448,4.657433696,5.333064267,4.424964257,4.299417794,5.677505997,5.198743646,4.66025501,5.197881862,5.535134287,5.290279775,5.491609529,5.485632011,4.919356313,5.26489814,5.300822201,4.275159482,5.468126079,5.208852553,5.413706158,5.329074322,5.465591256,5.24877996,5.021461105,5.509299892,5.149065203,5.150698836,4.926143761,5.861791367,5.057321473,5.325576659,5.106809709,4.950435819,5.034372436,5.055188028,4.991397769,5.350275836,5.634110933
693191_at,4.308268908,5.50313997,4.61791444,5.141184925,4.704130371,5.218721049,4.265057023,4.979205837,4.742263125,5.536160525,5.228538221,5.260639488,3.705267794,5.150434131,4.522966601,4.80781471,4.933206963,4.867867863,4.532649912,5.066361784,4.736471904,4.020443727,4.156060497,4.511470829,5.027941583,5.08053626,4.446671525,4.366511174,5.180613534,4.852220404,5.391690616,4.791796017,4.607595811,4.488171428,4.434513747,4.447184139,4.768893352,4.594066212,4.502738735,4.726962763,4.726883464,4.397949477,4.738825089,4.492248198,4.562698078,4.723421045,4.397228405,4.694781513,4.535558984,4.618704807,4.607947492
11167_at,5.560606764,5.386420496,4.777160594,4.655700571,5.070589988,4.865005601,5.370351081,4.93932144,5.110821201,6.400780818,5.041273429,4.667113716,4.88279118,5.599069026,5.455987945,5.099912123,6.388896145,5.367179344,4.54734945,4.772086816,5.848924834,5.443641149,5.240884465,4.967611718,5.389578406,5.340071701,4.397149084,4.770154766,4.885383189,5.532984213,4.957980568,5.626226917,5.20125323,4.992894577,5.13472385,4.960890279,5.176973938,5.145473287,5.313231018,5.292867263,4.945518056,4.636166729,4.828576902,4.993880587,4.912642786,5.399157885,5.227172729,5.142939497,4.96799697,5.21044688,5.078536867
977_at,7.757433922,7.310512208,7.097903421,7.387411227,7.655757803,7.347392278,6.445306581,7.595583786,7.289404915,8.139191649,7.677789712,7.646049211,7.69846679,7.711602144,7.861572166,7.839150201,8.176864068,7.768155111,7.120522256,7.531943637,7.920495199,6.935697851,6.736694096,7.500620361,7.575300659,7.541544605,7.007261209,7.170194941,7.086540915,7.173075228,7.148614254,7.246141871,7.470678283,7.459450867,7.489229643,6.944728843,7.520168237,7.462747141,7.455861334,7.343017524,7.586625714,6.513398453,7.198824658,7.280863812,6.705142032,7.471444376,7.357041572,7.865677936,7.493470682,8.080887439,7.661227477
107987207_at,5.04065486,4.389750298,4.975268453,4.524612352,4.232592495,3.883391847,4.844311358,4.768522632,5.313507089,2.595847297,5.119973722,3.565267515,4.952549833,5.249635153,2.330728724,5.426919255,3.307881874,5.198885848,4.90758621,4.638013508,4.458840826,4.799973601,3.483296228,4.817100837,4.896277649,5.432164175,4.92482941,5.46753645,3.69585772,4.923965715,5.536974352,5.068341069,4.050730083,4.317065546,5.08194084,4.002645988,4.332670518,4.480831038,4.293140386,4.830294384,4.230316235,4.893178509,4.31203463,4.507689583,5.114710663,4.481758398,5.030899791,4.401196874,3.96951758,4.814326946,5.833152977
4129_at,4.120791154,3.449547141,3.083610832,3.32021547,4.073709805,4.20501382,3.462809039,4.011409338,3.509680522,3.170594524,3.355132408,3.204057112,4.040353161,3.675477503,3.416314506,4.071203108,5.781008258,2.686416758,3.362360202,3.31429351,5.082512803,3.24848535,3.712000073,3.822242502,3.008906015,3.743963211,2.961148312,3.306705527,3.55203993,4.066944841,3.130819383,4.132927561,3.727877254,3.377555683,3.429656952,3.259517672,3.441786051,3.365410791,3.528459736,3.472128197,3.362540294,3.248070729,3.358441605,3.358826401,3.363525659,3.290206142,3.365986889,3.421964693,3.337303201,3.409077966,3.410157074
100033426_at,8.35855639,8.371274433,9.139082616,8.379214173,8.892277228,8.522177795,8.187007926,8.041415934,8.82492019,7.76001542,8.55377906,7.793338541,7.960537724,8.418321947,8.314055683,8.835316286,8.051711561,8.432175039,9.176108867,8.553107073,7.989109875,8.401717498,8.687959586,8.190116908,8.149270143,8.049628698,9.29438915,8.677290729,7.989387375,8.38361597,9.388771323,8.645809376,8.603372346,8.842645885,8.773548554,9.534306641,8.721368913,8.666956505,8.476676622,9.880105005,9.466559025,9.287401273,8.169626362,9.468518882,8.568065499,8.370345814,9.621526923,8.576866357,8.243251708,7.890250759,8.46185784
27197_at,3.204257978,3.168361554,3.340390644,3.161245068,2.850793923,2.708772743,3.136175373,3.380353945,3.522539958,2.856668949,3.02356,3.017899228,3.124415278,3.232838097,3.297291312,3.001260576,2.859786995,2.907613375,3.72652505,3.22660822,3.311113123,2.992489398,2.514550816,3.483031377,3.549389284,3.24645375,3.370800935,3.703413381,3.058044655,3.317762474,3.982133939,3.23218282,3.764960858,3.554946555,3.468724696,3.625768017,3.221451729,3.439111933,3.443452736,3.448892324,3.377256788,3.919757024,3.023673528,3.22923986,3.42691342,3.015971066,3.116677808,3.280419673,3.103691394,3.369590098,3.545187927
442361_at,3.895046531,4.009100418,3.468249853,3.963890786,5.04351425,4.526454935,4.29892724,3.687648024,3.164636061,4.673675368,2.547071401,4.354551919,4.182028317,3.466206534,5.02853393,4.018592831,3.861367317,4.864812874,3.636975426,4.396106648,3.84351887,4.589636339,4.680681671,3.975801318,3.822713229,4.616882131,4.762678164,4.82479003,3.753040063,3.670528272,3.735062457,4.065055065,4.464660817,4.122980438,4.061449698,3.771084822,4.11046351,4.349889144,4.02211547,4.073360452,4.146942977,4.061647837,4.020457271,3.992406191,4.023294336,4.289993906,4.02742521,3.712835534,4.246381962,4.107709547,3.764067321
58160_at,7.822197333,8.334375663,7.247577463,7.73011537,7.052344866,8.188164997,8.520512751,7.314356764,7.925418141,7.126932742,8.412435216,8.495061859,7.87645019,8.052394838,7.899834147,7.384209052,7.330956847,7.269222476,7.403362009,8.016530736,7.720307854,7.837135649,8.172937427,8.285737631,8.076874462,7.369926649,8.245546844,7.868815405,7.486227563,7.316228396,7.246948103,7.510318564,7.419136773,7.581683502,7.391673347,7.330741454,8.329743786,8.680695247,8.641091318,7.985558248,7.978763253,8.553277769,7.281626059,7.873307933,8.782287406,7.504299613,7.658042863,6.728211351,6.601475211,6.850137152,7.433599051
28616_at,6.871465441,6.993539082,7.547343961,6.971391744,8.134575734,8.078031478,7.881099704,6.993982416,8.123577309,5.556519485,7.009632493,7.100637819,7.679486594,7.411064965,6.92799083,7.483155136,7.394908189,7.980765348,7.821320653,7.45093789,7.754197621,6.936761353,7.193124685,7.168042198,7.750078684,7.99215993,7.813883251,7.46522806,7.238805134,7.078513595,7.93699877,7.255524544,7.809723777,7.19258756,7.00169736,7.175856665,7.420546141,7.31367126,7.034560951,7.848844389,8.382847225,7.204814062,6.520618584,6.53319984,8.038701598,6.941196392,7.079773978,6.951518594,7.247205579,7.282988183,7.31871896
119180_at,3.652549157,3.248080329,3.874667493,4.09433754,3.980896351,3.486122981,3.974715712,3.51107114,3.87304045,3.579952168,4.132584585,3.592935991,3.811159084,3.174026524,4.089293344,3.844766589,3.725219795,4.213756658,3.471843376,2.924133351,3.060018223,3.935506772,4.007271223,3.062116404,4.242351268,3.261173729,3.657457602,2.955939466,3.918227813,3.528573513,3.155166168,4.278340943,3.655349148,3.388224332,3.376603593,3.265434873,3.482037056,3.590336176,3.486886366,3.435264141,3.477897277,3.239779272,3.482750216,3.496628698,3.424532834,3.415040303,3.508323442,3.322032786,3.619909082,3.426768249,3.553417402
4048_at,9.080824095,9.232395281,9.452495889,9.135517123,8.831693676,9.409645035,8.634775645,9.376359018,9.253450341,8.912537508,9.65361548,9.422374686,8.919548412,9.565701675,9.326383963,8.972404615,8.967751174,9.524693692,9.55167134,9.446051059,9.143996019,8.969163061,9.324177376,9.64807209,9.363884735,9.108910358,9.634537714,9.70899443,9.331537009,9.351251834,9.349830862,9.077684609,9.524693692,9.356903837,9.140769948,9.497422724,9.468975526,9.558137557,9.504154181,9.617494639,9.423424951,9.400993503,9.076614845,9.14745301,9.649312962,9.151320782,9.33279495,9.461407668,9.309844926,8.887024496,9.161156709
23705_at,3.681048399,3.759139606,4.319062828,4.123296285,3.254900703,4.344405581,4.410435339,3.422701649,3.340763348,3.189932571,4.09357178,3.492697705,4.6937319,4.230879555,4.092035519,4.014206397,3.575273631,4.015249906,3.830840934,3.567539959,3.863289256,3.677472293,3.577923299,3.71431143,3.606629719,5.122856164,4.273849338,4.213643387,3.883234016,3.643171094,4.986830035,3.985022051,4.236340626,4.128144789,4.164444028,4.142121214,4.145324014,4.084184408,4.126947101,4.139950698,4.238252063,4.062902531,4.243246875,4.188161151,4.129206936,4.128892001,4.139080649,4.138824816,4.27051224,4.131660712,4.062524578
84771_at,5.771674937,5.800039669,5.464071518,5.084348762,5.908648188,5.567688037,5.901807394,6.087324447,5.664514519,4.884944892,4.631176152,5.455999707,4.777518166,5.310599153,6.358714808,5.657114628,5.084871367,5.291688029,5.707712061,5.951775974,5.363435609,5.248514083,5.449277441,5.689756486,6.513861875,6.225801392,5.358758487,4.159651816,6.31442601,5.771881967,5.795927071,5.654098968,5.271432547,5.10131184,4.964566612,4.840713144,5.653585274,5.131009016,5.347367405,6.135536833,6.137180267,5.02881768,5.607145564,5.741587188,6.098260747,5.111260462,4.96321644,5.695740417,6.183747869,6.988751918,6.893562668
26829_at,6.774612392,7.979611794,8.05067841,6.991441435,8.170978255,8.236140674,8.169393706,7.146896793,6.958575739,7.850412069,7.224891188,7.128078358,6.483010277,7.82972026,7.075125356,8.043052928,8.3654284,7.483013016,7.730070105,7.461497982,7.609794697,7.521230019,7.524361075,6.659471749,7.022978394,6.764744851,7.255249276,6.951040081,7.526429602,6.979104271,7.611685994,6.865079451,7.324254744,7.516420195,7.522647476,7.532650752,7.238456469,7.144603651,6.990496263,8.043108727,9.110324878,6.89275022,7.116681334,7.633988407,6.354221254,7.418867013,7.763889762,8.410166777,8.129809845,6.490195701,6.390851059
6285_at,6.614354969,4.306319797,6.369594131,6.411970724,5.490120643,4.704264288,6.239924111,6.19593183,5.934634476,5.904943254,5.117868173,5.096993916,5.84512576,6.197610753,5.676591693,5.94711717,4.992253786,6.039140769,5.190036473,5.654217927,5.423429197,4.235621319,5.245696402,4.933169021,4.348456591,6.311692668,5.901587456,6.98289763,6.480762363,5.768246813,6.375857858,4.499075648,4.492779647,5.754580446,6.054115779,5.881081867,5.587412192,5.373379815,5.115085273,5.630522568,5.736212487,5.367477833,5.453459877,5.510776987,5.610680785,5.426808481,5.608053744,5.368729759,5.548263574,5.539809279,5.361582134
102723724_at,2.938037097,4.611937396,3.568894323,3.116059736,2.922389556,4.006735357,3.770600489,2.750859704,3.871594442,3.320650436,2.846021772,4.51997362,3.247616042,3.214049397,4.905610082,4.133738501,3.072033438,3.855378062,2.907767819,4.162098678,4.821182472,3.617839482,4.921179605,3.79937748,3.179577233,3.057065566,4.232303195,4.297981438,4.101575445,3.173548777,3.252175385,3.122593791,3.320154054,3.395026816,3.38089887,3.414402636,3.425362963,3.448055097,3.297019888,3.457193124,3.58135021,3.552876157,3.372325195,3.284394185,3.416635067,3.385111322,3.397684582,3.42277993,3.516921642,3.375982388,3.533726206
105374366_at,4.549343292,4.942074253,5.602398886,3.886868807,5.027190283,5.039624408,5.589366618,5.135565418,5.361672166,5.097788561,5.094533296,4.401433347,5.208189758,4.524892936,5.505691143,4.342169846,4.68901067,4.906327289,5.051087835,4.997549009,4.825711727,5.561805035,5.361384446,5.364599517,5.264290753,5.317013555,4.92194844,5.362229798,4.723038065,5.011504354,6.087801299,5.111168124,4.988021134,5.023718008,4.776559757,5.148807007,4.62037977,4.767459126,4.655199218,4.336225614,4.587497101,5.68382976,5.009438972,5.360916223,5.270198197,4.545191585,4.703777754,5.044815878,4.683792711,4.921885326,4.814979638
26801_at,9.352295295,9.666262569,9.902271098,9.923134955,9.102571486,9.741692606,9.616508017,9.401173038,9.524776427,9.599859383,9.713692648,9.473172293,9.59747101,9.825159614,9.181445845,9.805449642,9.729050648,9.242104668,9.477836201,9.320218253,9.489893457,9.730712151,9.548353046,8.896722318,9.472641798,9.066186326,9.806264934,9.491411179,9.601277555,9.533229623,9.16035651,9.62820096,9.008665466,9.604995897,9.491088874,9.695019533,9.341954887,9.454404623,9.414334484,10.0483215,10.05706517,9.224193641,9.816628918,9.853816801,8.636757075,8.98231981,9.260866032,9.230871047,9.260861905,9.430456849,9.493075198
28518_at,6.664627333,6.873831636,7.283403035,7.563289167,7.793695886,8.000445727,7.474660261,6.9113416,7.318827313,6.193811471,7.107394031,7.053878652,7.65914855,6.965717727,7.318862745,7.283934877,7.168510552,6.947387524,6.817963597,7.931750073,7.283748044,7.307423414,6.746728789,7.192416957,7.439577096,6.692005802,7.475349481,7.130355115,7.275395968,7.601942197,7.467227795,7.586147097,7.855304994,7.640058065,7.45704067,8.062487928,6.143229376,6.383001914,6.362021466,6.853702914,6.728992172,6.765601661,7.16444361,7.726478729,7.178843143,6.782545951,6.976880153,6.277236359,5.922489779,6.525414513,7.050098244
101929534_at,2.945675979,2.645811514,3.221466688,2.946410204,2.70272138,2.403129593,3.761876795,4.292122305,2.612327675,2.771419228,3.387104526,2.791433566,3.241351444,2.863090497,2.719599067,2.816036735,2.804584685,2.718982111,3.021335661,3.126369699,3.012981221,3.169120068,2.857501444,4.628379097,3.273341821,4.243219404,3.111397279,2.976518351,3.05832805,3.507898955,2.925184059,3.025196746,2.807026398,3.13610347,3.144077903,3.328827781,3.319667352,3.189635981,3.200763853,3.280839241,3.348677011,3.176882894,3.235384325,3.274374272,3.259519463,3.21609781,3.209461547,3.303607049,3.201239515,3.28978369,3.093992025
917_at,9.954308493,9.320562531,10.80738305,9.795966843,10.5993391,10.20040589,10.00506263,9.977169965,10.23130904,8.893577932,9.679021458,9.128599422,10.03498293,9.871439836,9.86557735,10.51618595,9.594394451,10.20616175,10.72298322,10.56850721,10.25265146,10.6712933,9.805579268,10.35314155,9.868184881,9.887545587,10.73358097,10.06816244,9.914043871,10.33615845,10.77057852,10.57222258,10.23825008,10.5684395,10.64267207,10.58173712,9.874803205,10.12155574,9.755635045,10.39863674,10.09596351,10.10566999,10.09438086,10.4803959,10.8657841,10.48034299,10.59704951,9.641883578,9.551332754,10.16909782,10.38962519
5473_at,10.67077323,10.16582672,10.14447763,9.797171796,10.62485921,10.43394852,10.32162567,10.28188028,10.19802336,10.59371824,9.890082971,8.986239836,10.14929377,10.13802822,10.51209256,10.48686851,10.98800054,9.825271309,9.995246807,9.861647359,10.69515381,10.47270558,10.82367425,9.975421005,10.04127277,9.825956594,9.178610478,10.15952833,9.917604303,10.6327233,10.05947056,10.4882423,10.46925576,10.2104801,10.55465565,10.36011495,10.42903867,10.27993897,10.60480644,10.54988421,9.445989313,10.05079546,9.685198876,11.01635066,9.589389863,10.35847736,10.29759926,10.17302161,10.19804113,10.32174183,10.27413134
100422826_at,4.020284748,4.315160285,4.185477437,4.324173031,3.837471469,3.701903954,4.2651013,4.783893376,3.647585095,3.521563025,3.594936372,3.813999115,4.19888819,3.909242041,4.210009754,3.496281183,3.957205873,3.707429057,3.988581167,3.703006807,3.612168656,3.871128067,3.76685894,3.623956427,3.537462167,3.787953242,4.031262288,3.940377637,3.827520901,3.70583748,3.493213101,3.426578459,3.790699338,4.2599602,3.977770784,3.980992167,4.298560296,3.971690236,3.963383756,4.16702349,4.232497386,3.920484647,4.162702606,4.163346203,3.895055948,4.126311415,4.075745418,4.135526802,4.07495492,4.221554856,3.875815273
105378502_at,5.268353007,5.09509936,5.22358337,4.627888983,4.073730282,4.731461886,3.597393509,5.019568736,3.446852917,4.527927468,3.897383528,3.634045015,4.524267007,3.328193097,4.73109352,4.875086111,3.998678287,4.280120087,4.858687325,4.480502959,3.828678532,3.877370551,4.331842535,3.936720114,4.842052284,5.511561785,4.645424557,4.73629045,4.502540842,4.721470661,4.616890556,4.419018946,4.900136426,4.936517814,4.536273452,4.274566788,4.232158152,4.573228177,4.66765091,4.523356483,4.316267138,4.574718681,5.394915195,4.294620167,4.916513864,3.729576283,5.004971849,4.765722535,4.237115792,4.882817332,4.980908631
9302_at,6.492131161,6.13322693,6.782622935,6.386114918,6.680441915,6.449694848,6.456268393,6.505414791,6.485956166,5.863826275,6.296825768,6.22292783,6.35206063,6.522417901,6.252401614,6.518428945,6.25262062,6.346348622,6.626220383,6.681685335,6.518092948,6.515873488,6.471806404,6.872232596,6.417005549,6.38234825,6.745913312,6.546565603,6.198266739,6.432229819,6.526400506,6.709620809,6.481293593,6.176003182,6.679212584,7.194729035,6.999028145,7.208058918,7.402498653,7.825534614,7.335209255,8.260610321,6.174255651,7.217013046,5.849573708,6.087231093,6.952947987,6.406366114,5.668952177,6.902335947,7.680897256
