,GSM1437810,GSM1437857,GSM1437861,GSM1437880,GSM1437888,GSM1437943,GSM1437978,GSM1437980,GSM1438052,GSM1438056,GSM1438072,GSM1438078,GSM1438096,GSM1438108,Tarca_205_P3E02,Tarca_203_P3C02,Tarca_742_P8F09,Tarca_765_P8E12,Tarca_739_P8C09,Tarca_107_P2C02,Tarca_128_P2H04,Tarca_106_P2B02,Tarca_271_P3G10,Tarca_269_P3E10,Tarca_600_P7H03,Tarca_597_P7E03,Tarca_492_P6D02,Tarca_920_P10H07,Tarca_919_P10G07,Tarca_918_P10F07
101928414_at,5.661889819,4.075795993,5.558121241,3.667724312,4.773478145,4.721382359,4.213918334,4.273889282,4.325725419,4.963717148,4.417477177,3.782024784,4.178277901,4.190128499,4.143952298,4.229845408,4.2508962,3.959046124,4.178726992,4.41282802,4.416144661,4.271543253,4.075031706,4.11785732,4.189820408,4.379973684,4.088079485,4.084093587,4.435805921,4.086091363
291_at,4.703356861,5.174738192,4.250161988,4.576487814,4.594425702,4.876543336,4.87317843,5.165131892,5.076824669,4.796117266,4.829556698,4.033050186,5.607092246,3.8238855,4.946729339,5.088045853,4.925149525,5.056875837,4.972032764,5.183362355,5.227424977,4.989508047,5.196395782,4.899495924,4.851414322,5.12566993,5.088086776,5.089127634,5.009600469,4.997124422
101927851_at,6.4205078,6.222739775,6.744722524,6.303888678,6.337491804,6.277067352,6.207039852,6.858744721,6.455932092,7.172337558,7.019542936,6.685115284,6.24180394,6.965958321,6.77301086,6.526233241,6.624807398,6.542682041,6.361897281,6.377183607,6.080987572,6.143470972,6.813436434,6.874446058,6.153320181,6.255773096,6.776592706,7.434016336,7.153418166,7.546964977
105369673_at,3.84838036,3.062054043,3.965947097,2.822809987,3.013873347,4.857169787,2.718487586,4.418070113,3.032201474,2.341808983,2.703659478,2.950623539,3.571457005,2.598283694,3.418434051,3.328074888,3.165830458,3.010555332,3.101384188,3.278421286,2.893671246,3.334858926,3.203493185,3.163669991,2.883525585,3.048212932,3.226219023,3.115405618,3.098111626,3.042992154
100130418_at,2.97560112,4.163823198,4.037697093,3.749108975,3.564101603,3.354768199,4.13160181,4.613568326,4.427577137,3.346490632,3.860335107,3.27543828,3.412844859,4.03394972,4.084393573,4.051584149,4.073681555,3.937013636,3.944066429,3.922465221,4.245801348,4.012905459,4.00078828,3.979780557,4.081675368,3.950535937,3.865480652,4.071654488,4.138699875,4.297189248
7416_at,7.067214374,6.932942294,7.224963227,7.22209771,7.524571144,7.230324766,7.131701314,6.801164426,6.611931133,7.397576799,7.109084207,7.037769363,7.124883069,7.441533307,6.686064968,6.697628017,6.834518536,6.817940554,6.796594416,6.9495339,6.723603747,6.81141759,6.809346219,6.748648577,6.947481071,6.762102677,6.347778496,6.766566556,6.982130021,6.790516506
107984814_at,4.342612786,4.245444478,4.41411217,4.339783307,2.923622627,4.56805961,4.95756308,5.067420554,5.027561958,3.883681546,4.460136443,4.64341398,4.634900238,3.626359911,4.757956025,5.031145303,4.518829257,4.555055169,4.481945162,5.059650915,4.657546308,4.290552106,4.464924686,4.445628481,4.307259025,4.388878879,4.397926106,4.769955614,4.576472105,4.249486748
3824_at,8.09661004,8.025353296,7.599311167,7.659818957,8.006847847,7.971773036,8.106556668,7.879913722,7.739024623,7.649838819,7.578378355,8.051653545,8.318700423,7.766525566,7.085701503,7.13585256,6.926663585,7.371606217,7.075404303,8.309933886,8.319710384,7.494051911,8.012908571,8.266480516,7.47712277,7.618974669,8.630794085,7.62814514,7.157518545,7.589100995
102724714_at,3.452367786,4.467945193,3.530577746,5.07654753,3.142869259,4.633481812,4.351513998,4.466998373,5.606962584,4.516810701,4.285821931,3.453182374,5.21707701,3.979176258,4.576094106,4.759157953,4.337989855,4.588395848,4.754143019,4.409383964,4.455500978,4.53709383,4.672046399,4.92119137,4.654953021,4.939887999,4.725351731,4.475353597,4.580194192,4.271651893
100861547_at,5.009171706,4.646896443,4.78141631,5.363439764,4.95385744,4.863693791,4.610479498,5.254764706,5.252548031,4.436078195,4.534609397,4.937152984,4.572918553,4.778741061,4.695386933,5.203523628,4.589734482,4.47522844,4.597686577,5.0232369,4.836862911,4.765920044,4.993693586,4.521899167,5.062670495,4.517252889,4.453262632,4.179320851,4.678502777,4.296396934
719_at,6.249431259,5.712737649,6.352710341,6.240189471,5.877353446,6.155801802,6.302275931,6.369876173,5.73812051,5.339092828,6.55615695,6.04480166,6.265170308,6.301911487,6.624022769,6.510767514,6.358316646,6.37558883,6.52582542,6.158240208,5.663390582,6.830740295,6.063804581,6.196747675,5.655761998,5.591942309,7.18154709,5.586151231,5.651898368,5.757853001
2135_at,3.503176472,3.569145227,3.761997347,3.837881818,3.710689831,3.181595158,3.533900647,4.140794816,4.859338835,2.878047318,2.99627309,2.420430614,4.35125372,2.839080402,3.759605342,3.830556258,3.708439402,3.800252217,3.773327745,3.96002677,3.796442813,3.894365883,3.811832584,3.86263614,3.723158531,3.957090065,3.985153513,3.842806892,3.814700866,3.838459123
101929580_at,5.13406274,4.265794699,4.475075068,4.11980776,4.695207305,4.369898741,4.759899787,4.601691872,4.988383542,4.935044233,5.019140643,5.219016023,4.234578005,5.881297219,4.695452188,4.538435718,4.491974189,4.567963201,4.608568577,4.470604067,4.807498033,4.552325815,4.617427315,4.600035692,4.383678617,4.412010941,4.812738861,4.391232602,4.355489555,4.530981538
100500818_at,5.766669793,6.46440642,6.3483352,6.253356255,5.354986749,6.164856436,5.983510018,6.572924054,6.668796568,6.270643071,7.099456093,5.469841822,5.745434405,6.640025931,6.182887083,6.026389136,6.447955002,6.357022932,6.19530571,6.357161837,6.190334236,6.263637131,6.625125826,6.539447422,6.291238556,6.329481168,6.002590877,6.407052918,6.419484321,6.339593936
9415_at,7.68632741,5.837844748,6.135223405,6.420575848,6.271065254,6.129674195,6.06494443,7.508569345,7.100816837,7.135314979,7.14761308,6.584464975,7.051188653,6.785825011,6.214727804,6.354847325,6.689573795,6.508830271,6.61242203,6.685274486,6.472838297,6.629617839,6.889290337,6.63152546,6.533022086,6.414665501,6.369527458,6.893566816,7.182528916,6.875746026
28732_at,8.891233116,9.488466429,8.449162384,8.410364211,9.603462086,8.707211836,9.187708533,8.850521393,9.382781049,8.967194172,8.924376825,8.469044445,9.186277487,8.643358151,8.766143415,9.163313207,8.66643731,8.928994613,9.324600451,9.200812694,9.648056514,8.718467519,8.945788828,8.98760018,8.3627617,7.990804205,8.623735016,9.039788007,8.515718186,8.859025969
100505676_at,5.500630104,5.611438034,4.105673681,5.214264211,4.930951669,5.150406946,4.812828618,5.051497805,5.341006331,4.643087667,5.005791918,5.0964488,5.480823838,5.22234361,5.054942007,4.867949996,5.392783324,5.026439926,5.159449305,5.16637356,5.001836752,5.17393947,4.911274418,5.234505037,5.422280818,4.939369474,4.559342812,4.641373396,5.070542875,5.209993611
4318_at,8.351201921,8.84919832,8.482864404,8.332791523,7.975323294,8.097878282,7.901015341,8.113990023,8.09008734,8.170211749,8.656173447,8.481211517,7.866499383,8.567174469,8.645682105,8.396857519,8.736846281,8.848551636,8.642214578,7.605446939,7.860120458,7.998259647,7.831589547,7.538896557,8.140734518,8.120293997,8.487292148,8.606381542,8.670742162,8.530788181
23531_at,8.408707631,8.4677757,8.290988924,8.85152151,9.311730791,8.183116293,9.139861813,8.159767178,7.580919374,8.925060082,8.839716942,8.349022962,7.780846175,9.183504189,8.075481675,8.884144996,8.44365041,8.37453462,8.666477087,8.836891441,8.39373364,8.095481729,8.383913051,8.752734308,8.091556304,8.373533994,9.110424259,8.475117177,8.549857581,8.566082041
151516_at,6.342290621,6.189715113,6.156917383,5.685519084,5.614902272,6.25697316,6.219844586,6.405032967,5.709522434,6.15727499,6.076789562,6.151005479,5.613412081,6.123791046,6.216564137,6.158656767,6.344343903,6.319586294,6.116700541,5.537952651,5.876872646,5.904771592,5.929816538,6.644926538,6.080649855,6.037607721,6.536978455,6.382566818,6.605440941,6.361615646
102724958_at,3.570338989,3.482186181,3.138474256,3.033738776,3.424568258,3.36953615,3.856529058,3.200490352,3.146225051,2.933136122,4.267040668,4.635638677,3.154039542,3.134515622,3.373610015,3.48205302,3.076535078,3.121022636,3.214123575,3.086004662,2.916532376,3.122754284,3.112665913,3.189297462,2.894404909,3.409757495,3.340757141,3.073375471,3.196691263,3.351438599
101669762_at,4.511521029,3.82214884,3.589423814,3.540720461,3.231831625,3.251756236,4.095624317,3.379345548,2.793018211,3.577937427,4.623932392,3.877839691,4.591149591,4.122450493,3.427775656,3.464652638,3.545582979,3.154329012,3.36752456,3.505107172,3.25355098,3.365285815,3.432751269,3.652659362,3.389781577,3.521573117,3.584079108,3.477736452,3.551094006,3.697090998
109623460_at,2.877424684,3.987499715,4.187256155,3.776747265,3.581820274,3.623229718,3.303901867,3.067277756,4.591656793,3.588107079,3.090926417,3.151183917,4.352692374,2.261494189,3.665642025,3.915189715,3.769953759,3.702981426,3.895032849,3.474388209,3.727772427,3.553054214,3.633198103,3.748220271,3.651195878,3.675937672,4.007014487,3.581281624,3.642727675,3.785409248
4015_at,4.352736268,3.970424665,3.314461447,4.648031403,4.266395337,4.25775505,4.586352497,4.204768718,3.53079021,4.146023086,5.164375266,4.336476678,3.675075632,4.700725909,3.863694953,3.853888211,3.808577778,3.731576096,3.783004353,3.891638282,3.836112024,3.865985164,3.818596544,3.754475215,3.839112161,3.816644519,3.771372724,3.793697314,3.863804192,3.831644719
4352_at,6.190584458,5.944484498,5.218856928,6.33573844,6.562365037,5.589006236,6.357434857,6.033562644,4.773951342,6.30986621,6.20908413,6.104953759,5.336348068,6.853092309,6.500857384,6.96229806,5.498879313,5.644364916,5.617433305,5.42867155,5.733408296,5.748182445,6.847301988,6.25182757,5.952299813,5.694594276,5.854732202,5.676509816,5.959619028,5.805394614
692088_at,5.077213576,5.804031063,5.671389233,5.483388354,5.895335695,5.209560065,5.248648369,5.395144712,5.701848893,5.422979075,5.627947901,5.388527442,5.626397937,5.118478396,5.801246713,4.944923219,5.899241828,5.29642074,5.587711973,5.189527147,5.240502259,5.629052085,5.325039113,5.327586147,4.929875913,5.057939738,6.433755928,4.794322847,4.523197114,5.153785483
105377175_at,3.083219969,3.520469827,3.313378294,3.306339273,3.710990768,2.883945494,3.623591602,4.120744014,3.11790145,3.127294681,3.582767597,3.224828479,3.33969042,3.439570857,3.623663485,3.607259749,3.634390728,3.615009266,3.597267579,3.630768458,3.586825859,3.794438355,3.659031043,3.663063589,3.754138696,3.847164152,3.698623337,4.047666936,3.717057173,3.462033569
100158262_at,3.145535734,4.145870326,3.754869125,3.786759214,3.397637175,3.222676205,4.109325295,3.948824523,4.976982197,4.145353122,3.50553516,3.30164759,4.671247672,3.190835348,3.619646248,3.464283753,4.158061333,4.367907411,4.435552383,4.447914208,4.004781973,4.181382154,3.398831244,3.881749082,3.740552011,4.420592014,4.425776893,4.014409609,3.670390409,3.864633991
